NumTrees,MaxNumSplits,MinLeafSize,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,TN,FP,FN,TP,TargetMet,TargetScore,AccuracyPct,SensitivityPct,SpecificityPct,PrecisionPct,F1Pct
200,20,1,0.72,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.939503857314743,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
200,30,2,0.67,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.94495364144667,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
300,10,3,0.58,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.940990162077996,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
300,20,5,0.63,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.943113454596928,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
500,20,3,0.66,0.918976545842217,0.922110552763819,0.901408450704225,0.981283422459893,0.950777202072539,0.945502158680728,64,7,31,367,0,0.967343732465492,91.8976545842217,92.2110552763819,90.1408450704225,98.1283422459893,95.0777202072539
100,25,3,0.72,0.916844349680171,0.917085427135678,0.915492957746479,0.983827493261456,0.949284785435631,0.950438813787246,65,6,33,365,0,0.965099315452811,91.6844349680171,91.7085427135678,91.5492957746479,98.3827493261456,94.9284785435631
200,30,5,0.66,0.916844349680171,0.917085427135678,0.915492957746479,0.983827493261456,0.949284785435631,0.945997593601812,65,6,33,365,0,0.965099315452811,91.6844349680171,91.7085427135678,91.5492957746479,98.3827493261456,94.9284785435631
300,10,5,0.58,0.916844349680171,0.917085427135678,0.915492957746479,0.983827493261456,0.949284785435631,0.939503857314743,65,6,33,365,0,0.965099315452811,91.6844349680171,91.7085427135678,91.5492957746479,98.3827493261456,94.9284785435631
100,15,3,0.62,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.940512421261236,64,7,32,366,0,0.965099315452811,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451
200,10,2,0.6,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.94100785618232,64,7,32,366,0,0.965099315452811,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451
200,25,5,0.66,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.946546110835869,64,7,32,366,0,0.965099315452811,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451
500,10,2,0.58,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.941680232146649,64,7,32,366,0,0.965099315452811,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451
500,10,3,0.56,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.942387996319626,64,7,32,366,0,0.965099315452811,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451
500,15,5,0.63,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.944405124212612,64,7,32,366,0,0.965099315452811,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451
500,20,5,0.62,0.916844349680171,0.919597989949749,0.901408450704225,0.981233243967828,0.949416342412451,0.944759006299101,64,7,32,366,0,0.965099315452811,91.6844349680171,91.9597989949749,90.1408450704225,98.1233243967828,94.9416342412451
100,25,2,0.74,0.914712153518124,0.912060301507538,0.929577464788732,0.986413043478261,0.947780678851175,0.94260032557152,66,5,35,363,0,0.96285489844013,91.4712153518124,91.2060301507538,92.9577464788732,98.6413043478261,94.7780678851175
